company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Vignamato;Versiano Verdicchio dei Castelli di Jesi Classico Superiore;3.8;73;12.3;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2020.0;47.0;19.0;67.0;fruit tree/citrus/aged note
Franz Haas;Lepus;3.8;142;14.4;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Südtirol - Alto Adige;Pinot Blanc;2017.0;52.0;13.0;56.0;fruit tree/citrus/herbaceous
Massolino;Chardonnay Langhe;3.9;112;15.68;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Chardonnay;2019.0;62.0;22.0;50.0;wood/fruit tree/citrus
Abbazia di Novacella (Stiftskellerei Neustift);Praepositus Riesling;3.8;35;24.45;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Riesling;2019.0;60.0;26.0;55.0;herbaceous/fruit tree/citrus
Raccaro;Friulano Rolat;4.2;119;22.9;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Friulano;2018.0;65.0;21.0;53.0;fruit tree/herbaceous/aged note
Zisola;Azisa Sicilia;3.8;108;11.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Miscela;2020.0;51.0;12.0;50.0;fruit tree/citrus/herbaceous
Vie di Romans;Ciampagnis Chardonnay;4.2;141;30.0;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Chardonnay;2019.0;63.0;25.0;51.0;wood/fruit tree/citrus
Tasca d'Almerita;Buonsenso Catarratto;3.9;84;9.4;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Catarratto Bianco;2020.0;50.0;22.0;42.0;tropical note/Floreale/herbaceous
Nals Margreid;Leiten Gewürztraminer;4.1;169;12.78;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2020.0;60.0;34.0;28.0;tropical note/fruit tree/herbaceous
St. Michael-Eppan;Müller Thurgau;3.7;349;11.78;Seafood / Spicy foods / Vegetarian;Italy;Südtirol - Alto Adige;Müller-Thurgau;2019.0;32.0;8.0;36.0;fruit tree/citrus/herbaceous
Roagna;Solea Langhe;4.2;58;99.82;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Miscela;2017.0;67.0;24.0;48.0;herbaceous/wood/citrus
COS;Pithos Bianco;3.8;248;21.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Grecanico;2019.0;61.0;5.0;31.0;citrus/herbaceous/fruit tree
Valenti;Enrico IV Etna Bianco;3.8;33;11.4;Seafood / Vegetarian / Appetizers and snacks;Italy;Etna;Carricante;2019.0;62.0;5.0;35.0;herbaceous/citrus/fruit tree
